"di_id","colour","detail","source_title","source_link"
"LY","red","No CR data used for vital statistics",,
"MR","green","Over 75%",,
"DZ","green","Over 75%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems"
"AO","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BJ","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BW","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BF","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BI","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CM","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CV","orange","Developing ""model of best practice""","EurActiv Report","http://www.euractiv.com/sections/development-policy/civil-registration-africas-greatest-development-failure-holds-key-her"
"CF","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TD","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"KM","red","No CR data used for vital statistics","UN High Commissioner for Refugees Submission","http://www.refworld.org/pdfid/51b823064.pdf"
"CG","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CI","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CD","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"DJ","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"EG","green","70-90%","Civil Registration and Vital Statistics Assessment Study in Africa","http://213.55.79.31/statcom/2011/assd/EN-PreliminaryReportCRVS.pdf"
"GQ","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ER","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ET","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GA","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ST","red","No CR data used for vital statistics",,
"GM","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GH","orange","Over 25%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GN","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GW","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"KE","orange","Over 25%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"LS","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"LR","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"MG","red","No CR data used for vital statistics","UN High Commissioner for Refugees Submission","http://www.refworld.org/pdfid/51b823064.pdf"
"MW","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ML","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"MU","green","Over 90%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems"
"MA","orange","60-69%","Civil Registration and Vital Statistics Assessment Study in Africa","http://213.55.79.31/statcom/2011/assd/EN-PreliminaryReportCRVS.pdf"
