"di_id","colour","detail","source_title","source_link"
"DZ","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca-2010/countryinfo/en/"
"AO","orange","2015","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"BJ","red","1992","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"BW","orange","2015","Statistics Botswana press release","http://www.cso.gov.bw/images/agri_census.pdf"
"BF","orange","2010 (planned for 2016)","FAO Country information","http://www.fao.org/economic/ess/ess-wca/en/"
"BI","grey","No information",,
"CM","green","2013","Statistics Cameroon","http://www.statistics-cameroon.org/news.php?id=125"
"CV","green","2014","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-wca/en/"
"CF","grey","No information",,
"TD","orange","2011 (planned for 2014-15)","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-wca/en/"
"KM","red","2004","World Programme for the Census of Agriculture","http://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/Country_info_2000/Keydata/Comoros_Keydata.pdf"
"CG","green","2014-2015","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-capacity/countrystathome/congo-launch/en/ and http://www.fao.org/economic/ess/ess-wca/en/"
"CI","green","2014","Government press release and World Bank metadata","http://www.agriculture.gouv.ci/index.php?option=com_content&view=article&id=455:lancement-du-recensement-des-exploitants-et-exploitations-agricoles&catid=65:dernieres-actualites&Itemid=90 and http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS#"
"CD","red","1990","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"DJ","red","1995","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"EG","orange","2010","World Bank metadata and World Programme for the Census of Agriculture","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/en/"
"GQ","grey","No information",,
"ER","red","No recent census",,
"ET","red","2002","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GA","red","1982","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GM","green","2012","World Programme for the Census of Agriculture","http://www.fao.org/economic/ess/ess-wca/en/"
"GH","green","2014","World Bank metadata and FAO Country Information","http://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=AG.LND.IRIG.AG.ZS# and http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GN","red","2001","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"GW","red","1988","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
"KE","red","1979","FAO Country information","http://www.fao.org/economic/ess/ess-wca/wca90-country0/en/"
